SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
-0.1294895,0.0335585,1.598657,0.1000749,0.02827549,1.635407,0.321916,0.02233978,1.664791,0.4173658,-0.002109528,1.664948,0.2192517,0.1488595,1.628444,0.08938026,0.09973925,1.510991,0.06443247,-0.03713309,1.474765,0.05777545,-0.06934774,1.492665,0.3026881,-0.05461873,1.631703,0.4702276,-0.07187107,1.582886,0.6246709,-0.02348442,1.632014,0.6640077,0.004732336,1.66697,-0.1329711,0.06507942,1.5624,-0.3944884,0.1933917,1.548285,-0.6318911,0.1016869,1.616068,-0.6059068,0.05805266,1.532438,-0.1223866,0.0008756629,1.589525,-0.3987799,-0.05262533,1.484927,-0.6242344,-0.0170711,1.610453,-0.5982981,-0.05916749,1.526765,0.2673616,0.02394586,1.658961,0.07251235,-0.1125504,1.460211,0.02543558,-0.07977789,1.507606,0.6606013,0.01349015,1.663102,0.6555654,0.01284754,1.657656
-0.1292179,0.0332202,1.598482,0.09999578,0.02784309,1.635232,0.3221156,0.02207721,1.664316,0.4174841,-0.002916105,1.664642,0.2190209,0.1482684,1.626178,0.08330013,0.1198365,1.508564,0.06394789,-0.03860403,1.471268,0.06040292,-0.07480366,1.489817,0.302691,-0.05439981,1.632097,0.4699011,-0.07347892,1.582699,0.6238986,-0.02475231,1.632754,0.6632356,0.003464673,1.66771,-0.1323146,0.06411419,1.562468,-0.3964112,0.1877347,1.540317,-0.6285865,0.08962309,1.615818,-0.6027414,0.04612572,1.532149,-0.1221838,0.001201466,1.588812,-0.398635,-0.0527964,1.484731,-0.6235706,-0.01595377,1.610785,-0.5977497,-0.05808248,1.527076,0.2674925,0.0236163,1.658541,0.07252505,-0.1137275,1.460487,0.02570093,-0.06963716,1.505621,0.6599973,0.01224703,1.664224,0.6553503,0.01233238,1.657879
-0.1232672,0.03555689,1.598457,0.1018748,0.02987394,1.63622,0.3209747,0.0233958,1.6664,0.4184326,0.002865594,1.669471,0.2181925,0.1504181,1.631224,0.09664714,0.1328878,1.51525,0.06929947,-0.03698776,1.477876,0.06037512,-0.07475594,1.492071,0.3028652,-0.055553,1.630284,0.4712982,-0.07345048,1.586128,0.6251881,-0.02496713,1.636654,0.6645247,0.003249271,1.67161,-0.1268583,0.06628843,1.567909,-0.3932517,0.1851881,1.539419,-0.6257392,0.09377959,1.621132,-0.5991681,0.05023817,1.537659,-0.1173355,0.002245119,1.584733,-0.3944095,-0.0521613,1.482828,-0.6141127,-0.005075363,1.614282,-0.6934323,-0.01634251,1.608722,0.2668974,0.02503312,1.66026,0.07477079,-0.1143076,1.464562,0.0328494,-0.0747925,1.509852,0.6611225,0.01201236,1.667741,0.6560981,0.012485,1.662316
-0.1199764,0.05013001,1.598201,0.1078233,0.03882307,1.633852,0.3294487,0.02814137,1.660529,0.4281156,0.02613834,1.659735,0.2201346,0.1509403,1.615379,0.08637884,0.158777,1.499481,0.07982231,0.03870105,1.44487,0.07985332,0.005089947,1.472965,0.3072922,-0.06100439,1.614189,0.4663987,-0.08278206,1.539758,0.6159768,-0.03143304,1.590062,0.6553167,-0.003208501,1.625017,-0.1205229,0.08340023,1.569259,-0.402862,0.1518862,1.514119,-0.6199086,0.1704138,1.655561,-0.5945069,0.1258934,1.571827,-0.1160845,0.01573592,1.580299,-0.396023,-0.04099201,1.491386,-0.6198152,-0.01717603,1.622082,-0.5942363,-0.05931606,1.538305,0.2748391,0.03074547,1.655405,0.08399116,-0.03030644,1.468241,0.05708507,0.01365441,1.479909,0.6518847,0.005579237,1.621161,0.646624,0.005552878,1.613336
-0.1159722,-0.15561,1.987009,-0.3235797,-0.162085,2.016146,-0.5182216,-0.1662956,2.035549,-0.6022462,-0.09322931,2.034964,-0.5679234,-0.2194962,1.988495,-0.5255921,-0.2347817,1.780502,-0.5224536,-0.08723076,1.799529,-0.5258714,-0.06441479,1.82581,-0.502009,-0.1409257,2.07172,-0.3057656,-0.09236359,2.095255,-0.1569252,-0.04542091,1.958849,-0.1154433,-0.03740523,1.942731,-0.1223479,-0.1917829,1.942062,0.1735859,-0.2310489,1.818068,0.4935522,-0.2829908,1.74485,0.4761859,-0.3654382,1.701041,-0.1027584,-0.1146712,1.978551,0.1789823,-0.01605034,1.853065,0.3412446,-0.1498611,1.970403,0.3614646,-0.2027373,1.861441,-0.4705341,-0.1650269,2.032373,-0.5414384,-0.04463852,1.846826,-0.5288143,-0.05654282,1.789437,-0.07939664,-0.02341185,1.933273,-0.06617105,-0.07314608,1.965385
-0.1050481,-0.03930606,1.27311,0.16782,-0.04652416,1.27951,0.4305211,-0.05638763,1.295095,0.5369802,-0.05122551,1.319039,0.2603119,0.06874372,1.266096,0.2565588,-0.07927881,1.189026,0.134944,-0.1219733,1.085062,0.1225713,-0.08403733,1.085783,0.2988356,-0.09462334,1.185861,0.5049045,-0.09911952,1.22624,0.3031508,-0.05488502,1.146963,0.2195648,-0.04939903,1.136657,-0.08916055,-0.001084842,1.257525,-0.3738492,-0.1102134,1.42062,-0.5689193,0.05182432,1.457047,-0.6438353,-0.001870722,1.452363,-0.1166386,-0.07510954,1.230175,-0.3689388,0.1917958,1.216442,-0.6148834,-0.002120403,1.35974,-0.5908095,-0.06421424,1.27234,0.3663818,-0.05368101,1.290813,0.1186654,-0.07600174,1.067261,0.1082621,-0.08375246,1.0883,0.1736447,-0.02671829,1.086802,0.2287747,-0.09185404,1.097595
-0.09715445,-0.008783746,1.467934,0.1717376,-0.02757263,1.441987,0.4306753,-0.04529972,1.406402,0.5323605,-0.0170725,1.4484,0.252041,0.1006661,1.42185,0.242045,0.0009149513,1.531982,0.1892573,0.01502815,1.316548,0.222073,-0.02529265,1.233275,0.3084193,-0.09169442,1.307292,0.1958331,-0.1459422,1.191445,0.248216,-0.0002092426,1.222698,0.2662348,0.01304933,1.240592,-0.09144878,0.02480383,1.454708,-0.3920902,-0.09010909,1.589119,-0.5427489,-0.09661364,1.37277,-0.6314987,-0.1109336,1.366975,-0.09876837,-0.04209786,1.424309,-0.3887394,0.181217,1.376621,-0.656023,-0.02815441,1.446196,-0.6422735,-0.09659038,1.364401,0.3671872,-0.04103663,1.416849,0.2193055,-0.02832074,1.210592,0.2159835,-0.02928734,1.21908,0.2763148,0.03905072,1.281703,0.2534328,0.03108882,1.253731
-0.09585518,-0.01001386,1.468553,0.1731613,-0.02836694,1.442463,0.4315482,-0.04575066,1.406296,0.5329897,-0.01656281,1.448952,0.2524372,0.1014084,1.421448,0.2424514,0.001743421,1.5316,0.1896145,0.01574161,1.31612,0.1724782,0.02042636,1.247426,0.3084464,-0.09221213,1.306528,0.1962016,-0.1458579,1.190197,0.2481421,-0.0007963426,1.224243,0.2591612,-0.007462992,1.221097,-0.09037356,0.02353233,1.4546,-0.3916574,-0.08719634,1.590472,-0.5348838,-0.09475928,1.369012,-0.6231371,-0.1081583,1.366204,-0.09727321,-0.04346422,1.425028,-0.3873614,0.1798674,1.377533,-0.656896,-0.02623803,1.447848,-0.6432153,-0.09451507,1.365685,0.3683558,-0.04156751,1.416937,0.1706835,0.01736177,1.22554,0.162704,0.01028734,1.222169,0.2830736,0.03213602,1.245301,0.2828038,-0.01633203,1.219462
-0.0945985,-0.01894395,1.346654,0.1562663,-0.01087686,1.355876,0.3949744,-0.006521665,1.355972,0.5052833,-0.01334403,1.403843,0.3043415,0.06601531,1.299915,0.2719154,-0.06600786,1.373222,0.3658827,0.01254824,1.264197,0.3626188,0.06068047,1.275731,0.3397925,-0.07201582,1.253156,0.4806371,0.005732774,1.345973,0.3304234,0.154933,1.287734,0.2781247,0.1233421,1.304591,-0.1060255,0.01499167,1.322351,-0.4648573,0.02106467,1.368882,-0.8849692,0.06514788,1.345028,-0.859854,0.01153747,1.251778,-0.07961771,-0.05245395,1.316654,-0.3600439,-0.1315928,1.402196,-0.7063841,-0.1217197,1.425156,-0.6841001,-0.172224,1.330345,0.3369044,-0.006944489,1.357442,0.3619882,0.099262,1.265853,0.379652,0.04921678,1.28985,0.2406325,0.1221286,1.330091,0.2665635,0.1043582,1.266407
-0.09363368,-0.01445281,1.454425,0.152286,-0.03251172,1.414707,0.3889574,-0.04879512,1.367127,0.5138454,-0.03735111,1.39051,0.2466597,0.104819,1.444849,0.2172367,-0.05366956,1.444171,0.1655522,-0.03345066,1.229063,0.1492827,-0.05882904,1.194826,0.2861254,-0.11019,1.279267,0.143066,-0.1374008,1.19453,0.2278864,0.02339786,1.249139,0.2624895,0.0612024,1.282423,-0.08745132,0.01920007,1.437162,-0.3949226,-0.1016489,1.555359,-0.6445847,-0.04644637,1.56444,-0.7232926,-0.08029851,1.502603,-0.0959299,-0.04683589,1.417671,-0.3790631,0.1761872,1.318184,-0.6431847,-0.02192649,1.419384,-0.6324879,-0.101401,1.354851,0.3311471,-0.04487115,1.380571,0.1340634,-0.08439851,1.168094,0.1052204,-0.08177065,1.193889,0.2977281,0.09056864,1.294439,0.2548935,0.09515665,1.2575
