SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
-1.286004,-0.06598323,2.606136,-1.221385,0.1915132,2.525105,-1.149017,0.4436158,2.435639,-1.218156,0.5109153,2.45538,-1.052169,0.2572314,2.244023,-1.210745,0.1824073,2.167762,-1.302753,0.03052943,2.095788,-1.388648,-0.02699454,2.058475,-1.000702,0.3047177,2.336729,-1.087422,0.1954814,2.194971,-1.258013,0.1408026,2.135052,-1.312283,0.1241102,2.10647,-1.345692,-0.122277,2.582935,-1.386507,-0.4806548,2.478073,-1.411332,-0.4752992,2.156225,-1.328852,-0.5215144,2.059095,-1.196519,-0.00780661,2.569362,-0.9768198,0.2390087,2.52599,-0.8931057,-0.04934667,2.412199,-0.8942139,-0.1372847,2.319152,-1.16811,0.3814529,2.45978,-1.389035,-0.07098014,2.054991,-1.383838,-0.05543151,2.05425,-1.367553,0.1072849,2.10503,-1.345831,0.1421808,2.0745
-0.6907704,-0.1624216,2.904962,-0.6789156,0.149417,2.914295,-0.6628903,0.4532649,2.91193,-0.7106744,0.5768682,2.908068,-0.7888085,0.3501673,3.024014,-0.6618238,0.2184604,2.810429,-0.710013,-0.04376245,2.803942,-0.728126,-0.1290181,2.816206,-0.561076,0.3302328,2.801537,-0.5518731,0.1257182,2.682648,-0.697184,0.06503271,2.555532,-0.7510499,0.04980735,2.513678,-0.7304107,-0.1557684,2.909893,-0.8356566,-0.4244767,2.8241,-0.8546981,-0.7547948,2.815733,-0.8909994,-0.8126578,2.739987,-0.6335838,-0.164967,2.826421,-0.5500636,-0.4422069,2.833402,-0.3423631,-0.7303819,3.059075,-0.4053217,-0.7643983,2.950339,-0.6677654,0.378395,2.914577,-0.7592434,-0.2027825,2.808347,-0.7914877,-0.078652,2.839808,-0.810185,0.03487409,2.496071,-0.7535721,0.06860501,2.467846
-0.2371071,-0.03051442,2.325648,-0.2725352,0.2255301,2.3169,-0.3060674,0.474459,2.299426,-0.3693047,0.5818262,2.32019,-0.4125569,0.3229117,2.339931,-0.3581997,0.1632294,2.22498,-0.4632185,0.1446003,2.375117,-0.4644583,0.1508298,2.394624,-0.1876932,0.363177,2.188616,-0.1777685,0.1733447,2.121473,-0.304126,0.08315547,2.080324,-0.3461858,0.08143385,2.076604,-0.2936145,-0.04289375,2.305898,-0.361852,-0.07281899,1.925253,-0.3647963,-0.4121533,1.929938,-0.4028398,-0.4450548,1.8381,-0.1742109,-0.01790265,2.285233,-0.2715974,-0.187624,2.07376,-0.3202218,-0.4304839,2.096365,-0.3592553,-0.4635738,2.004318,-0.2981726,0.4129627,2.305798,-0.4934897,0.1487032,2.380738,-0.4388976,0.1545159,2.386299,-0.4026907,0.08226568,2.041485,-0.3404061,0.1063383,2.048429
-0.2306189,-0.002842059,2.309521,-0.2990685,0.213894,2.315498,-0.3638133,0.4278495,2.312861,-0.4236124,0.518889,2.317545,-0.4885215,0.3286619,2.339689,-0.4554808,0.1614071,2.37446,-0.5083968,0.3039468,2.337946,-0.4922079,0.3371936,2.278331,-0.230289,0.3292589,2.1941,-0.1751207,0.1325854,2.117682,-0.3425,0.08872992,2.087544,-0.3772377,0.08434216,2.079391,-0.2669314,-0.0246371,2.32975,-0.3152573,-0.1853705,2.086056,-0.3042241,-0.5258421,2.142182,-0.3420632,-0.5586397,2.2089,-0.1894767,0.02097178,2.230524,0.008498416,-0.1421372,2.234787,-0.1613323,-0.3107298,2.35252,-0.07942799,-0.3688328,2.279821,-0.3482569,0.3750368,2.315367,-0.4863768,0.3626784,2.256812,-0.4550522,0.3429426,2.280778,-0.4319201,0.09391976,2.042443,-0.3879466,0.07595764,2.0745
-0.2052852,-0.03466387,2.312968,-0.2293536,0.1890288,2.324991,-0.2554446,0.4079661,2.331836,-0.2959221,0.4919312,2.376957,-0.3985419,0.2912132,2.434855,-0.4182903,0.1349667,2.419446,-0.3722484,0.2996132,2.369929,-0.3741769,0.3629598,2.354465,-0.1612855,0.2825112,2.195081,-0.1927424,0.08728473,2.102863,-0.3999508,0.0869517,2.06015,-0.437823,0.0970793,2.037154,-0.2326289,-0.04931695,2.347154,-0.3130982,-0.1768318,2.08185,-0.2975617,-0.4615546,2.137102,-0.3325022,-0.5134094,2.195005,-0.1752155,-0.02106599,2.239477,0.008468096,-0.1978196,2.232804,-0.1977281,-0.395455,1.992902,-0.2486183,-0.4652839,2.025144,-0.2488577,0.3541378,2.331542,-0.3442295,0.4032736,2.303462,-0.2989311,0.3363363,2.295865,-0.4734407,0.1091225,2.017252,-0.4391577,0.1101584,2.04187
-0.1993594,-0.03718301,2.306669,-0.2313142,0.1902366,2.325956,-0.2603168,0.4106962,2.334131,-0.3062462,0.4923112,2.379112,-0.4016913,0.3018236,2.427025,-0.4076363,0.1446738,2.425766,-0.372519,0.2984711,2.370155,-0.3763777,0.3612119,2.358591,-0.1632063,0.2875537,2.197255,-0.1929462,0.09171249,2.105808,-0.3996816,0.09061197,2.060268,-0.4384975,0.09727906,2.038249,-0.2287044,-0.05303223,2.355402,-0.316009,-0.1849809,2.080537,-0.2995539,-0.5408624,2.160097,-0.3439449,-0.5679133,2.22589,-0.1643272,-0.0244715,2.192809,0.01371539,-0.1991288,2.237892,-0.05973186,-0.4379745,2.33253,0.02175861,-0.4695828,2.238835,-0.2536452,0.3566097,2.333678,-0.3451641,0.4029696,2.300769,-0.3011102,0.3306243,2.289713,-0.474097,0.1091169,2.011434,-0.4406224,0.11048,2.040865
-0.1987177,-0.05198668,2.311764,-0.2281131,0.1803207,2.327992,-0.2565905,0.4061574,2.332017,-0.2965796,0.4903215,2.375762,-0.3990198,0.3094919,2.421788,-0.4138314,0.1538428,2.426986,-0.4108272,0.361941,2.392222,-0.3833375,0.3921669,2.328709,-0.1554103,0.2809778,2.197783,-0.1918923,0.08797401,2.103007,-0.344016,0.06960258,2.071578,-0.4124943,0.08961551,2.05131,-0.225912,-0.05759206,2.358782,-0.3151095,-0.1291466,2.077855,-0.303987,-0.4896977,2.139424,-0.3384985,-0.5315216,2.203368,-0.1664326,-0.04554041,2.206067,0.0118761,-0.1982412,2.235476,-0.165143,-0.4046983,1.979995,-0.2246662,-0.4593978,2.020656,-0.2499293,0.3506153,2.333111,-0.3727205,0.4376796,2.331661,-0.3602353,0.374658,2.309958,-0.4656345,0.1074341,2.025779,-0.4400488,0.112965,2.045335
-0.1945954,-0.01271212,2.297352,-0.2471265,0.2302896,2.304844,-0.2969026,0.4665918,2.302513,-0.3576196,0.5635139,2.328466,-0.4388801,0.2756911,2.436907,-0.4124554,0.1211794,2.45501,-0.52008,0.1843351,2.351921,-0.5732702,0.2009699,2.354247,-0.1879339,0.3459122,2.176877,-0.1796149,0.133986,2.120684,-0.322373,0.07457858,2.082943,-0.3543652,0.08191866,2.078347,-0.2248363,-0.02590524,2.288752,-0.3155563,-0.1690899,2.092315,-0.3038588,-0.5254501,2.144722,-0.3481967,-0.6043881,2.155951,-0.1592155,0.0008388571,2.247076,-0.04777812,-0.1881924,2.199106,-0.2692823,-0.03729298,1.991339,-0.3263478,-0.08159292,1.90357,-0.2845522,0.408545,2.304829,-0.5659928,0.2073811,2.352285,-0.5688002,0.1994029,2.335891,-0.4227539,0.08737297,2.03164,-0.3639018,0.09887899,2.084935
-0.1942539,-0.007424807,2.294906,-0.240326,0.2373926,2.306316,-0.2858316,0.4737859,2.306731,-0.3509054,0.5679191,2.333467,-0.4277828,0.2830499,2.4406,-0.4027063,0.1269248,2.460758,-0.5447489,0.1820876,2.410768,-0.5926133,0.2006381,2.39726,-0.1794063,0.3528441,2.180152,-0.1739427,0.1392111,2.12002,-0.3162568,0.07339097,2.084062,-0.350752,0.08476333,2.081976,-0.2234987,-0.02193798,2.288482,-0.310037,-0.1697627,2.094072,-0.3031037,-0.5261183,2.144868,-0.3416688,-0.60116,2.139444,-0.1584915,0.004374961,2.243508,-0.001617956,-0.1800316,2.258713,-0.3107823,-0.09179853,2.12314,-0.2312192,-0.1695783,2.113599,-0.2745523,0.4156526,2.308449,-0.5928228,0.2018046,2.391798,-0.5895408,0.1984474,2.383548,-0.4195636,0.09047724,2.041612,-0.3528474,0.05747993,2.093143
-0.1931025,-0.01289865,2.297469,-0.2480131,0.2288961,2.304048,-0.3006815,0.464047,2.301151,-0.3605385,0.5610253,2.324435,-0.4426472,0.2731474,2.435544,-0.4163718,0.1198093,2.45339,-0.5463733,0.187654,2.394572,-0.5778155,0.2312606,2.408738,-0.1879357,0.3438282,2.176206,-0.1803626,0.1334068,2.120698,-0.3217858,0.07375965,2.083392,-0.3547668,0.08134522,2.080539,-0.2234529,-0.02655593,2.289038,-0.3157969,-0.1705295,2.092781,-0.3035546,-0.5283448,2.145536,-0.3437706,-0.5993106,2.144873,-0.1575504,0.001263797,2.246416,-0.04078873,-0.2320018,2.292575,-0.24071,-0.06006658,2.02841,-0.1760328,-0.1432156,2.037081,-0.287793,0.4062359,2.30362,-0.5705678,0.2375862,2.406776,-0.5734124,0.2294984,2.390383,-0.4238882,0.08761793,2.037068,-0.3599636,0.05917134,2.091889
-0.189305,-0.01686824,2.290679,-0.2350127,0.2273437,2.29995,-0.2770442,0.4658347,2.300029,-0.3394499,0.5610219,2.325105,-0.4271446,0.289651,2.395289,-0.3533386,0.1015177,2.334308,-0.2680682,0.09405227,2.139935,-0.4645083,0.1393541,1.937659,-0.1716197,0.3475491,2.176088,-0.1723871,0.1453739,2.115163,-0.3519316,0.0869883,2.073514,-0.4082493,0.09210376,2.06065,-0.2275886,-0.03153715,2.273745,-0.3129639,-0.1751889,2.090354,-0.3005435,-0.5110822,2.138417,-0.3381032,-0.547551,2.203815,-0.1457645,-0.001906925,2.248971,-0.0445442,-0.2338306,2.289718,-0.2530372,-0.4734042,2.095995,-0.2901656,-0.5032682,2.164563,-0.2669341,0.4070916,2.301748,-0.4618084,0.1411703,1.926419,-0.4566062,0.1414334,1.918908,-0.4661393,0.1042285,2.022311,-0.431215,0.1072779,2.0586
-0.1872452,-0.02672254,2.295453,-0.2316966,0.2221626,2.309717,-0.2741552,0.4647563,2.314509,-0.3420363,0.5569642,2.347271,-0.4242481,0.2886247,2.409775,-0.3474429,0.1017616,2.348603,-0.4201055,0.1240768,2.150974,-0.4313628,0.1217035,2.142619,-0.1737491,0.3434999,2.185925,-0.138304,0.1448809,2.122906,-0.336347,0.1102206,2.148454,-0.4091019,0.1164568,2.147718,-0.2223241,-0.03675154,2.291441,-0.3156404,-0.1712955,2.086384,-0.3027835,-0.5319154,2.145826,-0.3436399,-0.5626596,2.212043,-0.1472013,-0.01579107,2.240521,-0.009329042,-0.1875122,2.237232,-0.230579,-0.3825448,2.009227,-0.266541,-0.4587857,2.044646,-0.2637083,0.4051325,2.314989,-0.4710433,0.1126668,2.111464,-0.4716485,0.1248224,2.140333,-0.4675717,0.1214756,2.13147,-0.4496477,0.1389681,2.132167
-0.1645844,0.009790877,2.325342,-0.1920496,0.252213,2.313871,-0.2197146,0.4879961,2.292604,-0.2727759,0.5896303,2.319585,-0.2804048,0.4546672,2.317414,-0.2808073,0.2619893,2.226197,-0.3525606,0.1150729,2.093526,-0.3413664,0.07729319,2.070246,-0.1147804,0.3518523,2.176503,-0.1750298,0.1606193,2.109056,-0.3630784,0.08880419,2.063154,-0.4333296,0.0994565,2.039898,-0.1992393,0.009881293,2.307491,-0.3159893,-0.1429097,2.097271,-0.28049,-0.4548634,2.276598,-0.2672897,-0.5579623,2.231534,-0.1261525,0.009313522,2.284447,-0.2231147,-0.0913171,1.995924,-0.1604453,-0.308784,2.273193,-0.08743986,-0.3888033,2.233713,-0.2129598,0.4300031,2.299715,-0.3512764,0.0557852,2.066494,-0.2994994,0.04548124,2.071687,-0.4719164,0.1113377,2.002198,-0.4456386,0.1198518,2.041
