SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
-2.707376,-1.178098,4.498766,-2.688003,-0.9552563,4.491142,-2.662753,-0.7335008,4.475387,-2.722903,-0.6329498,4.521389,-2.751554,-0.8486722,4.392543,-2.776888,-1.04672,4.336913,-2.77396,-1.249236,4.29473,-2.792415,-1.271714,4.293099,-2.589762,-0.8104657,4.494394,-2.539291,-1.011102,4.472473,-2.594682,-1.090658,4.34936,-2.632881,-1.072749,4.347709,-2.721659,-1.176183,4.454784,-2.80219,-1.389236,4.280735,-2.821144,-1.627052,4.210354,-2.787256,-1.549597,4.179305,-2.665061,-1.166725,4.495208,-2.61287,-1.429753,4.441273,-2.596897,-1.66539,4.359953,-2.614256,-1.697427,4.286412,-2.67006,-0.788646,4.48081,-2.74368,-1.319303,4.262536,-2.804293,-1.279963,4.2626,-2.645572,-1.068246,4.326756,-2.640218,-1.066084,4.318
-2.631668,-1.061349,4.400129,-2.601928,-0.8212332,4.40141,-2.568591,-0.5820544,4.395121,-2.587318,-0.4761431,4.451861,-2.653051,-0.596699,4.311701,-2.730398,-0.7242998,4.215497,-2.622028,-0.8214538,4.164006,-2.724206,-0.7487014,4.146555,-2.510984,-0.6918899,4.459293,-2.530629,-0.6763389,4.301157,-2.694618,-0.7140501,4.212138,-2.726903,-0.7323739,4.193419,-2.650735,-1.047109,4.338035,-2.665377,-1.284299,4.254271,-2.625297,-1.575667,4.175642,-2.557719,-1.594635,4.098521,-2.584499,-1.065085,4.41503,-2.590892,-1.362235,4.436338,-2.49994,-1.654819,4.348844,-2.503606,-1.700196,4.251355,-2.577762,-0.6418402,4.398179,-2.717649,-0.7582741,4.150804,-2.719394,-0.7419475,4.12481,-2.750398,-0.7798945,4.165469,-2.717591,-0.7535965,4.1853
-2.628488,-1.06401,4.403625,-2.607621,-0.8010382,4.406593,-2.581983,-0.5489959,4.399406,-2.588693,-0.4568938,4.47194,-2.660488,-0.5899365,4.321897,-2.723416,-0.721966,4.221412,-2.730436,-0.8075064,4.095513,-2.747295,-0.8726714,4.098778,-2.502087,-0.6769558,4.465618,-2.488847,-0.8114027,4.509483,-2.481862,-0.7025452,4.401074,-2.514822,-0.6689149,4.401031,-2.646418,-1.048877,4.349258,-2.659402,-1.322816,4.280221,-2.617394,-1.585781,4.167921,-2.552886,-1.59947,4.085527,-2.582279,-1.067625,4.410792,-2.588855,-1.377526,4.430406,-2.494546,-1.661622,4.337179,-2.522274,-1.688171,4.270802,-2.589191,-0.6116295,4.403602,-2.729814,-0.9002792,4.086869,-2.715026,-0.8972766,4.073902,-2.50015,-0.6182857,4.359413,-2.489373,-0.6423923,4.419203
-2.623472,-1.056401,4.40074,-2.612467,-0.7899842,4.403409,-2.59475,-0.5271931,4.396607,-2.590919,-0.4560808,4.467247,-2.659986,-0.5841498,4.319121,-2.729391,-0.7298018,4.221697,-2.703538,-0.9260494,4.227208,-2.691382,-0.9849234,4.23494,-2.505398,-0.6566728,4.461376,-2.520873,-0.8508443,4.419147,-2.524476,-0.9627419,4.317832,-2.544973,-1.003191,4.363489,-2.641741,-1.040823,4.343217,-2.663757,-1.309165,4.267313,-2.620699,-1.583163,4.166406,-2.55496,-1.597024,4.085033,-2.576103,-1.059576,4.412204,-2.593474,-1.36805,4.426281,-2.509792,-1.613146,4.346391,-2.441458,-1.62476,4.266859,-2.600479,-0.5923188,4.400023,-2.676995,-1.032223,4.225415,-2.644201,-0.9903283,4.210125,-2.541982,-1.057702,4.344094,-2.559532,-0.9936092,4.323
-2.578515,-1.176506,4.403963,-2.551795,-0.9328191,4.424199,-2.512265,-0.6605524,4.45356,-2.580699,-0.5752376,4.481202,-2.595747,-0.7148031,4.315596,-2.652252,-0.8552609,4.282568,-2.592182,-1.033537,4.206492,-2.583754,-1.053942,4.203323,-2.451191,-0.8503431,4.481392,-2.39458,-1.026341,4.380113,-2.549281,-1.050554,4.244305,-2.564723,-1.093771,4.247103,-2.596481,-1.155756,4.357536,-2.579483,-1.373966,4.230964,-2.583619,-1.616696,4.187408,-2.519001,-1.639344,4.118514,-2.5366,-1.190799,4.410549,-2.497461,-1.449521,4.403665,-2.471383,-1.678168,4.344395,-2.405018,-1.695385,4.27485,-2.521995,-0.7264334,4.449552,-2.587341,-1.063014,4.184727,-2.559463,-1.046248,4.216,-2.596708,-1.134364,4.228721,-2.538246,-1.111568,4.2465
-2.535514,-1.088656,4.38291,-2.572146,-0.8721732,4.375897,-2.611642,-0.6518854,4.362346,-2.621704,-0.5436047,4.428484,-2.633439,-0.6834151,4.294349,-2.685525,-0.8118773,4.19838,-2.706487,-0.919316,4.068587,-2.750978,-0.9794855,4.111169,-2.501033,-0.6684572,4.469189,-2.622234,-0.6665192,4.272916,-2.6936,-0.8342308,4.190844,-2.717493,-0.8834565,4.173406,-2.550796,-1.079629,4.323946,-2.523422,-1.349091,4.222524,-2.522595,-1.636167,4.193228,-2.449868,-1.658949,4.121595,-2.494872,-1.086068,4.396088,-2.471629,-1.416032,4.465659,-2.329464,-1.672201,4.445566,-2.301105,-1.722095,4.385143,-2.602109,-0.7073169,4.366885,-2.755242,-0.9849601,4.095864,-2.740415,-0.9774641,4.106201,-2.734747,-0.9274036,4.153935,-2.695478,-0.8659767,4.140286
-2.520397,-1.043032,4.40044,-2.574553,-0.7814124,4.447218,-2.624419,-0.5135585,4.490358,-2.593359,-0.4263954,4.552739,-2.72322,-0.6412925,4.463718,-2.643236,-0.8300725,4.317725,-2.533745,-0.9806786,4.151188,-2.499093,-1.031471,4.09869,-2.485345,-0.5885566,4.387063,-2.323429,-0.7682989,4.423776,-2.311584,-0.9698945,4.434797,-2.301571,-0.987763,4.432778,-2.569915,-1.040259,4.378388,-2.500041,-1.32008,4.256561,-2.543597,-1.606581,4.18087,-2.467771,-1.698277,4.158293,-2.439909,-1.031376,4.365993,-2.46944,-1.336584,4.31233,-2.452733,-1.731553,4.217567,-2.471393,-1.76572,4.124712,-2.612257,-0.579609,4.481602,-2.475064,-1.082065,4.082489,-2.509175,-1.068882,4.083343,-2.304636,-1.001997,4.43541,-2.281373,-0.9808096,4.40875
-2.508909,-0.8460445,3.986451,-2.533823,-0.5410158,4.107118,-2.556739,-0.2459687,4.217383,-2.583818,-0.1923733,4.335297,-2.591773,-0.3186956,4.080216,-2.633301,-0.5238358,3.924536,-2.61539,-0.7436779,3.840618,-2.566632,-0.7998241,3.833337,-2.483078,-0.4195255,4.314273,-2.467729,-0.6361046,4.406305,-2.380677,-0.7146277,4.136767,-2.346739,-0.7236507,4.004588,-2.52903,-0.811717,3.903899,-2.701952,-1.093158,3.992802,-2.889191,-1.376017,4.106307,-2.893042,-1.463136,4.109095,-2.448628,-0.8659996,4.004839,-2.401927,-1.191095,3.996633,-2.250142,-1.421039,3.860737,-2.13489,-1.410116,3.789529,-2.553716,-0.3190246,4.191805,-2.52193,-0.8621712,3.812542,-2.558754,-0.8263974,3.823167,-2.326457,-0.7747354,3.946962,-2.376555,-0.6627039,3.983125
-2.205076,-1.121687,4.354268,-2.217043,-0.7762656,4.417581,-2.230124,-0.4450394,4.463738,-2.292693,-0.349284,4.562858,-2.328293,-0.5503348,4.335184,-2.501979,-0.6960832,4.329268,-2.295186,-0.8711309,4.235126,-2.233436,-0.9327552,4.21563,-2.080898,-0.550528,4.474104,-1.993019,-0.7803057,4.513178,-1.994825,-0.9845181,4.366761,-2.006758,-1.033133,4.328986,-2.247194,-1.102981,4.277651,-2.329821,-1.48378,4.308195,-2.31168,-1.931935,4.211044,-2.274863,-2.015715,4.088912,-2.125679,-1.1212,4.357411,-2.050388,-1.534506,4.222743,-2.019862,-1.963655,4.057165,-1.951488,-1.965686,3.920046,-2.227414,-0.5259993,4.456253,-2.170757,-0.992888,4.205011,-2.172515,-0.8710986,4.200154,-2.022533,-1.086346,4.269434,-2.025381,-0.9653977,4.259917
-1.85703,-0.7261524,3.471421,-1.834349,-0.4234301,3.547767,-1.808456,-0.1229969,3.610198,-1.851522,-0.009687637,3.644772,-1.918806,-0.2599434,3.574769,-1.995145,-0.5186896,3.576267,-2.061697,-0.7289079,3.54628,-2.015458,-0.7211345,3.474323,-1.680103,-0.2493237,3.528831,-1.601735,-0.4800276,3.410463,-1.61564,-0.6535253,3.300773,-1.632004,-0.7138565,3.283466,-1.900343,-0.718673,3.440603,-1.854654,-1.128924,3.5511,-1.675918,-1.301707,3.470116,-1.725934,-1.280909,3.508291,-1.780386,-0.7188496,3.436989,-1.91628,-0.9997696,3.37783,-1.758016,-1.294487,3.271338,-1.767531,-1.369727,3.215182,-1.815454,-0.1978393,3.597062,-1.99865,-0.7323433,3.436204,-1.991807,-0.7247205,3.4414,-1.63847,-0.7549372,3.281449,-1.602846,-0.7218791,3.291286
